Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	33.684137
1	Clockticks	1561035000000
1	Instructions Retired	769785000000
1	CPI Rate	2.027884
1	Retiring	12.7
2	Light Operations	11.8
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
5	128-bit FP Vector	0.0
5	256-bit FP Vector	0.0
5	512-bit FP Vector	0.0
3	Memory Operations	4.9
3	Fused Instructions	1.5
3	Non Fused Branches	1.0
3	Nop Instructions	0.1
3	Other	4.3
2	Heavy Operations	0.9
3	Few Uops Instructions	0.0
3	Microcode Sequencer	1.7
4	Assists	0.0
4	CISC	1.7
1	Front-End Bound	3.7
2	Front-End Latency	0.9
3	ICache Misses	0.0
3	ITLB Overhead	3.6
3	Branch Resteers	0.0
4	Mispredicts Resteers	0.0
4	Clears Resteers	0.0
4	Unknown Branches	0.0
3	DSB Switches	1.7
3	Length Changing Prefixes	0.0
3	MS Switches	1.0
2	Front-End Bandwidth	2.8
3	Front-End Bandwidth MITE	3.1
4	Decoder-0 Alone	1.0
3	Front-End Bandwidth DSB	0.9
3	(Info) DSB Coverage	42.4
3	(Info) DSB Misses	100.0
1	Bad Speculation	1.5
2	Branch Mispredict	0.0
2	Machine Clears	1.5
1	Back-End Bound	82.1
2	Memory Bound	57.0
3	L1 Bound	11.9
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	2.4
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	0.1
4	Split Loads	0.0
4	4K Aliasing	0.3
4	FB Full	0.0
3	L2 Bound	0.1
3	L3 Bound	31.3
4	Contested Accesses	4.5
4	Data Sharing	0.2
4	L3 Latency	1.9
4	SQ Full	0.0
3	DRAM Bound	9.5
4	Memory Bandwidth	7.5
4	Memory Latency	43.2
5	Local DRAM	4.1
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	8.3
4	Store Latency	39.4
4	False Sharing	2.8
4	Split Stores	0.0
4	DTLB Store Overhead	0.4
5	Store STLB Hit	0.1
5	Store STLB Miss	0.3
2	Core Bound	25.1
3	Divider	0.0
3	Port Utilization	7.1
4	Cycles of 0 Ports Utilized	44.1
5	Serializing Operations	39.2
6	Slow Pause	0.0
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	4.1
4	Cycles of 2 Ports Utilized	4.1
4	Cycles of 3+ Ports Utilized	6.7
5	ALU Operation Utilization	10.0
6	Port 0	7.3
6	Port 1	7.6
6	Port 5	9.4
6	Port 6	15.5
5	Load Operation Utilization	8.0
6	Port 2	10.1
6	Port 3	9.9
5	Store Operation Utilization	9.2
6	Port 4	9.2
6	Port 7	5.2
4	Vector Capacity Usage (FPU)	0.0
1	Average CPU Frequency	3497105990.463551
1	Total Thread Count	115
1	Paused Time	0.0
0	Effective Physical Core Utilization	25.3% (12.144 out of 48)
1	Effective Logical Core Utilization	13.8% (13.244 out of 96)
0	Collection and Platform Info	
1	Operating System	5.15.0-84-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.6 LTS"
1	Computer Name	xacchead
1	Result Size	79854200
1	Collection start time	07:55:05 14/11/2024 UTC
1	Collection stop time	07:55:39 14/11/2024 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Cascadelake
2	Frequency	3000006096
2	Logical CPU Count	96
2	LLC size	37486592
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
